gene exp1 exp2 cont1 cont2
DQ714 2.00 3.00 1.38 2.42
DQ554 2.00 4.00 2.18 2.22
AK028 2.00 1.29 1.38 1.42
Kdm4c 76.00 93.00 154.00 101.00
Notum 645.04 865.80 738.99 434.00
Nol11 133.00 145.03 79.00 292.00
Msh5 9.00 12.00 3.00 13.00
Pwwp2a 150.30 126.02 78.00 184.43
Adam2 3.00 0.00 0.00 0.00
Helz 50.00 54.00 22.00 169.00
Fam13a 193.00 239.00 470.80 299.00
Nid2 18.01 16.03 64.10 24.41
Gigyf1 441.69 429.00 739.00 315.00
Zfp560 73.00 40.00 90.00 62.00
Dpysl3 3.00 2.00 7.00 5.00
AK054493 0.00 1.00 1.00 1.00
Vopp1 44.00 54.00 63.99 29.00
Rpl7a 6058.99 8403.47 4930.97 4613.00
